variant,region,pitch_mm,radii_mm,K,peb_median_m,peb_p95_m,peb_max_m,fraction_peb_1cm,fraction_peb_10cm,fraction_full_rank,minimum_visible_5sigma
pitch1.5,tile_ninth,1.5,"12,20",2,3910174794.71652,Inf,Inf,0.328,0.36,0.52,0
pitch1.5,tile_prism,1.5,"12,20",2,Inf,Inf,Inf,0.104,0.2,0.36,0
pitch1.5,tile_core,1.5,"12,25",2,56.6766017602783,Inf,Inf,0.36,0.36,0.84,1
pitch1.5,tile_ninth,1.5,"12,25",2,3913041726.82272,Inf,Inf,0.296,0.36,0.52,0
pitch1.5,tile_prism,1.5,"12,25",2,Inf,Inf,Inf,0.072,0.168,0.36,0
pitch1.5,tile_core,1.5,"13,15",2,1.19994503408256,153957.538985201,192950.223030863,0.36,0.36,1,0
pitch1.5,tile_ninth,1.5,"13,15",2,3849884538.52519,Inf,Inf,0.328,0.36,0.84,0
pitch1.5,tile_prism,1.5,"13,15",2,Inf,Inf,Inf,0.072,0.2,0.456,0
pitch1.5,tile_core,1.5,"13,17",2,4.33752000758102,154822.222081912,194014.921152124,0.36,0.36,1,0
pitch1.5,tile_ninth,1.5,"13,17",2,6596778746.70538,Inf,Inf,0.36,0.36,0.84,0
pitch1.5,tile_prism,1.5,"13,17",2,Inf,Inf,Inf,0.104,0.2,0.456,0
pitch1.5,tile_core,1.5,"13,20",2,28.9531738374723,869570.089748816,1073697.22779661,0.36,0.36,1,0
pitch1.5,tile_ninth,1.5,"13,20",2,6934850652.76838,Inf,Inf,0.36,0.36,0.52,0
pitch1.5,tile_prism,1.5,"13,20",2,Inf,Inf,Inf,0.104,0.2,0.392,0
pitch1.5,tile_core,1.5,"13,25",2,61.0418947859664,Inf,Inf,0.36,0.36,0.84,0
pitch1.5,tile_ninth,1.5,"13,25",2,6944534211.89672,Inf,Inf,0.36,0.36,0.52,0
pitch1.5,tile_prism,1.5,"13,25",2,Inf,Inf,Inf,0.104,0.136,0.36,0
pitch1.5,tile_core,1.5,"15,17",2,14.5794155388895,2536321.14258854,3178055.89708842,0.36,0.36,1,0
pitch1.5,tile_ninth,1.5,"15,17",2,26508109246.1913,Inf,Inf,0.04,0.36,0.584,0
pitch1.5,tile_prism,1.5,"15,17",2,Inf,Inf,Inf,0.04,0.136,0.392,0
pitch1.5,tile_core,1.5,"15,20",2,62.053093720552,3301664.09705066,4109209.03242949,0.36,0.36,1,0
pitch1.5,tile_ninth,1.5,"15,20",2,31174982539.3551,Inf,Inf,0.072,0.36,0.52,0
pitch1.5,tile_prism,1.5,"15,20",2,Inf,Inf,Inf,0.04,0.136,0.392,0
pitch1.5,tile_core,1.5,"15,25",2,162.479630770259,167239291.8074,205140677.033593,0.36,0.36,1,0
pitch1.5,tile_ninth,1.5,"15,25",2,31492099944.3221,Inf,Inf,0.072,0.264,0.52,0
pitch1.5,tile_prism,1.5,"15,25",2,Inf,Inf,Inf,0.04,0.104,0.392,0
pitch1.5,tile_core,1.5,"17,20",2,149.0612298633,23533489.3717327,29467007.5185807,0.36,0.36,1,0
pitch1.5,tile_ninth,1.5,"17,20",2,130157226240.338,Inf,Inf,0.04,0.296,0.52,0
pitch1.5,tile_prism,1.5,"17,20",2,Inf,Inf,Inf,0.04,0.104,0.392,0
pitch1.5,tile_core,1.5,"17,25",2,537.995949720263,350583983.023554,430369861.703512,0.36,0.36,1,0
pitch1.5,tile_ninth,1.5,"17,25",2,137453434469.092,Inf,Inf,0.04,0.2,0.52,0
pitch1.5,tile_prism,1.5,"17,25",2,Inf,Inf,Inf,0.04,0.072,0.392,0
pitch1.5,tile_core,1.5,"20,25",2,2688.32240200635,866611465.945091,1064877502.41785,0.264,0.36,1,0
pitch1.5,tile_ninth,1.5,"20,25",2,898947883171.884,Inf,Inf,0.04,0.168,0.52,0
pitch1.5,tile_prism,1.5,"20,25",2,Inf,Inf,Inf,0.04,0.04,0.392,0
pitch1.5,tile_core,1.5,"10,11,12,13,15,17,20,25",8,0.0154707924188037,2179.46801086919,2746.42980195773,0.36,0.84,1,3
pitch1.5,tile_ninth,1.5,"10,11,12,13,15,17,20,25",8,177953.814803863,Inf,Inf,0.36,0.36,0.84,0
pitch1.5,tile_prism,1.5,"10,11,12,13,15,17,20,25",8,2948541819.76459,Inf,Inf,0.232,0.264,0.552,0
pitch2,tile_core,2,"10",1,189932.385901109,Inf,Inf,0,0,0.808,0
pitch2,tile_ninth,2,"10",1,Inf,Inf,Inf,0,0,0.168,0
pitch2,tile_prism,2,"10",1,Inf,Inf,Inf,0,0,0.168,0
pitch2,tile_core,2,"11",1,63.295831821724,1789.28785289075,2456.89698814541,0,0,1,0
pitch2,tile_ninth,2,"11",1,Inf,Inf,Inf,0,0,0.36,1
pitch2,tile_prism,2,"11",1,Inf,Inf,Inf,0,0,0.36,0
pitch2,tile_core,2,"12",1,5.92691757565938,19.5052495616903,21.9426758430002,0,0.016,1,1
pitch2,tile_ninth,2,"12",1,101058.065164609,Inf,Inf,0,0.08,0.52,1
pitch2,tile_prism,2,"12",1,Inf,Inf,Inf,0,0.048,0.456,0
pitch2,tile_core,2,"13",1,2.48424379514497,29.6774938164005,29.6774938164828,0.024,0.264,1,1
pitch2,tile_ninth,2,"13",1,89188.9646684166,Inf,Inf,0.088,0.232,0.52,0
pitch2,tile_prism,2,"13",1,Inf,Inf,Inf,0.024,0.168,0.456,0
pitch2,tile_core,2,"15",1,2.78674161124601,342.181584579194,426.372351763905,0.36,0.36,1,1
pitch2,tile_ninth,2,"15",1,505917.814448816,Inf,Inf,0.36,0.36,0.52,0
pitch2,tile_prism,2,"15",1,Inf,Inf,Inf,0.2,0.232,0.456,0
pitch2,tile_core,2,"17",1,4.40874534694195,18236.0266839875,22527.7279795954,0.36,0.36,1,1
pitch2,tile_ninth,2,"17",1,4701663.11967534,Inf,Inf,0.36,0.36,0.52,0
pitch2,tile_prism,2,"17",1,Inf,Inf,Inf,0.104,0.168,0.424,0
pitch2,tile_core,2,"20",1,19.136391348134,1542311.23961521,1879227.95451077,0.36,0.36,1,0
pitch2,tile_ninth,2,"20",1,96996313.7894047,Inf,Inf,0.04,0.36,0.52,0
pitch2,tile_prism,2,"20",1,Inf,Inf,Inf,0.04,0.104,0.424,0
pitch2,tile_core,2,"25",1,232.153916017242,256266439.801349,304268496.40168,0.328,0.36,1,0
pitch2,tile_ninth,2,"25",1,4655349336.90894,Inf,Inf,0.04,0.104,0.52,0
pitch2,tile_prism,2,"25",1,Inf,Inf,Inf,0.04,0.04,0.392,0
pitch2,tile_core,2,"10,11",2,12.45638512452,2529.03138309296,3472.90642146838,0,0,1,0
pitch2,tile_ninth,2,"10,11",2,3499.11600307233,Inf,Inf,0,0,0.84,1
pitch2,tile_prism,2,"10,11",2,7693.43370318983,Inf,Inf,0,0,0.744,0
pitch2,tile_core,2,"10,12",2,0.914493580235336,3.31673732384565,4.29018108487374,0,0.04,1,1
pitch2,tile_ninth,2,"10,12",2,0.892886442098367,Inf,Inf,0,0.168,0.84,1
pitch2,tile_prism,2,"10,12",2,256.468236968468,Inf,Inf,0,0.04,0.68,0
pitch2,tile_core,2,"10,13",2,0.0540697387768463,3.51316053830026,4.55559207555345,0.144,0.52,1,1
pitch2,tile_ninth,2,"10,13",2,0.15069832515218,9602355.1260548,12074177.2148872,0.048,0.264,1,0
pitch2,tile_prism,2,"10,13",2,1656.86214454456,Inf,Inf,0.016,0.232,0.584,0
pitch2,tile_core,2,"10,15",2,0.0253346683261742,367.185250936729,472.021176722874,0.392,0.52,1,1
pitch2,tile_ninth,2,"10,15",2,58.2041427364336,9602435.70685918,12074275.3184284,0.36,0.36,1,0
pitch2,tile_prism,2,"10,15",2,Inf,Inf,Inf,0.232,0.264,0.488,0
pitch2,tile_core,2,"10,17",2,0.0315103506022279,633.532779611701,855.992031190885,0.392,0.52,1,1
pitch2,tile_ninth,2,"10,17",2,5500.69276833689,198042252.745085,244517332.715587,0.36,0.36,1,0
pitch2,tile_prism,2,"10,17",2,Inf,Inf,Inf,0.168,0.232,0.488,0
pitch2,tile_core,2,"10,20",2,0.106257345935046,663.437103149257,897.927403928443,0.36,0.488,1,0
pitch2,tile_ninth,2,"10,20",2,278953.628591327,866222637.703551,Inf,0.168,0.36,0.968,0
pitch2,tile_prism,2,"10,20",2,Inf,Inf,Inf,0.04,0.2,0.488,0
