sample_id,x,y,z,inclinacion,azimuth,mean,median
20251029_120128_14,0.51,0.22,0.75,20,0,4.3885147,4.38941
20251029_120128_14,0.51,0.22,0.75,20,120,4.11800628,4.11862
20251029_120128_14,0.51,0.22,0.75,20,240,4.81763569,4.81813
20251029_120128_15,0.51,0.22,0.75,20,0,4.35319521,4.35388
20251029_120128_15,0.51,0.22,0.75,20,120,4.05255899,4.05348
20251029_120128_15,0.51,0.22,0.75,20,240,4.75908778,4.759405
20251029_120128_16,0.51,0.22,0.75,20,0,4.38052787,4.38152
20251029_120128_16,0.51,0.22,0.75,20,120,4.07844655,4.07947
20251029_120128_16,0.51,0.22,0.75,20,240,4.79101228,4.791975
20251029_120128_17,0.51,0.22,0.75,20,0,4.3679961,4.36835
20251029_120128_17,0.51,0.22,0.75,20,120,4.10622962,4.10678
20251029_120128_17,0.51,0.22,0.75,20,240,4.81437855,4.8155
20251029_120128_18,0.51,0.22,0.75,20,0,4.31693889,4.31768
20251029_120128_18,0.51,0.22,0.75,20,120,4.02035134,4.0209
20251029_120128_18,0.51,0.22,0.75,20,240,4.72730994,4.728475
20251029_120128_19,0.43,0.16,0.75,20,0,4.15186117,4.15251
20251029_120128_19,0.43,0.16,0.75,20,120,3.92401346,3.92483
20251029_120128_19,0.43,0.16,0.75,20,240,4.74891162,4.7497
20251029_120128_2,0.45,0.2,0.75,20,0,4.19455048,4.19529
20251029_120128_2,0.45,0.2,0.75,20,120,4.00142859,4.002315
20251029_120128_2,0.45,0.2,0.75,20,240,4.75111581,4.752
20251029_120128_20,0.43,0.16,0.75,20,0,4.17466296,4.175385
20251029_120128_20,0.43,0.16,0.75,20,120,3.99038837,3.990795
20251029_120128_20,0.43,0.16,0.75,20,240,4.80700069,4.80793
20251029_120128_21,0.43,0.16,0.75,20,0,4.07923436,4.07947
20251029_120128_21,0.43,0.16,0.75,20,120,3.88199376,3.88304
20251029_120128_21,0.43,0.16,0.75,20,240,4.68250567,4.6829
20251029_120128_22,0.43,0.16,0.75,20,0,4.03593297,4.03703
20251029_120128_22,0.43,0.16,0.75,20,120,3.83523743,3.83599
20251029_120128_22,0.43,0.16,0.75,20,240,4.65158049,4.6523
20251029_120128_23,0.43,0.16,0.75,20,0,4.06589115,4.06598
20251029_120128_23,0.43,0.16,0.75,20,120,3.84910964,3.84981
20251029_120128_23,0.43,0.16,0.75,20,240,4.66611261,4.66645
20251029_120128_24,0.43,0.16,0.75,20,0,4.16640704,4.16666
20251029_120128_24,0.43,0.16,0.75,20,120,3.95168301,3.9528
20251029_120128_24,0.43,0.16,0.75,20,240,4.78364865,4.78391
20251029_120128_25,0.43,0.16,0.75,20,0,4.15203067,4.15251
20251029_120128_25,0.43,0.16,0.75,20,120,3.93669627,3.93733
20251029_120128_25,0.43,0.16,0.75,20,240,4.76810795,4.76878
20251029_120128_26,0.43,0.16,0.75,20,0,4.05214737,4.05282
