label,x,y,z,d_true,ang_GLS_deg,pos_GLS_m,d_GLS_m,ang_WLS_deg,pos_WLS_m,d_WLS_m,ang_NLS_deg,pos_NLS_m,d_NLS_m
P9.t1,-0.4,0.2,1.1,1.00498756211209,0.492030281251123,0.00940469324934224,1.00121330887306,0.778610365116236,0.0141250698918085,1.00128742601308,1.07611815921131,0.0246304903375538,0.988985671005569
P9.t2,-0.4,0.2,1.1,1.00498756211209,0.533228668531954,0.010128304656853,1.00105736724152,0.721038895504118,0.0130257757566228,1.00178935050141,1.09638508278527,0.0254198363159298,0.988178798471955
P9.t3,-0.4,0.2,1.1,1.00498756211209,0.498079254687402,0.0126149712724185,0.995849405588171,0.70284400269686,0.0145126671083316,0.997254110680668,1.10645231980404,0.029848701973225,0.982121138260212
P10.t1,-0.2,0.2,1.1,0.94339811320566,0.668288353776086,0.0141203831056874,0.95218327368979,0.793802017368538,0.0163323792714167,0.953101734233351,0.252944799516075,0.00705868889448692,0.949087983447034
P10.t2,-0.2,0.2,1.1,0.94339811320566,0.68522343473748,0.0143746223755161,0.95223803151486,0.812928819146624,0.0165972626718035,0.953117308755962,0.255200882317874,0.00719820104560449,0.949233199866805
P10.t3,-0.2,0.2,1.1,0.94339811320566,0.771754375998281,0.0156106531244366,0.952380506144491,0.911259980377944,0.0179623727272851,0.953154926286527,0.290616094006189,0.00789841397639161,0.949669913621723
P11.t1,-0.2,0.2,1,1.03923048454133,0.918744672412631,0.0219919327585194,1.05344867017609,1.09192237790828,0.025277656263583,1.05475030932079,0.253803509614647,0.0101885025133013,1.04830949280084
P11.t2,-0.2,0.2,1,1.03923048454133,1.0195877698123,0.0228643267110648,1.05251258835869,1.19149812932448,0.026157755250998,1.05374496459944,0.311247468158363,0.0102331326617853,1.04775018009391
P11.t3,-0.2,0.2,1,1.03923048454133,1.09040977452536,0.0237483645686099,1.05219025232987,1.26592418130281,0.0270514186825711,1.05328216965674,0.354060919952268,0.0108728456291892,1.04798434130733
P12.t1,-0.4,0.2,1,1.09544511501033,0.497096387626025,0.00952746737821334,1.09473457206962,0.627146112641462,0.0120011408455016,1.09486821126048,1.08547216809537,0.0243537837880488,1.08250256276368
P12.t2,-0.4,0.2,1,1.09544511501033,0.515737956805568,0.00986899353382128,1.09498718136508,0.700799291365985,0.0134161784179724,1.09467145507616,1.02197944399057,0.0225346219160723,1.08404306272507
P12.t3,-0.4,0.2,1,1.09544511501033,0.564742761312202,0.0108328376314896,1.09451407415594,0.501297476998211,0.00958809181483897,1.09567471306929,1.16422478240877,0.026388979085546,1.08104205213149
P13.t1,-0.4,0,1,1.0770329614269,0.860654280996629,0.0258815684233119,1.05670909730669,0.914520909248828,0.0241968603429308,1.05986684557543,0.787421357402669,0.0335301345731337,1.04684485268563
P13.t2,-0.4,0,1,1.0770329614269,0.819520870254012,0.025320073271799,1.05682793666672,0.967036644329562,0.0254279017918191,1.05909853024006,0.703149979483743,0.0320683649181257,1.04773401215895
P13.t3,-0.4,0,1,1.0770329614269,1.05274085638199,0.0216640818164607,1.06803273080485,1.07198994738865,0.0209876195592543,1.07097386288156,0.866903717160446,0.0231186020553473,1.06051044390981
P14.t1,-0.2,0,1,1.01980390271856,1.51398125527653,0.0272358660617405,1.02342367701857,1.63330599021813,0.0294179428550391,1.02391891099172,1.30379305584155,0.0233723682143099,1.02233918801721
P14.t2,-0.2,0,1,1.01980390271856,1.39840166553359,0.0254181130912368,1.02466624887357,1.51087125117036,0.0274923962383864,1.02517868141767,1.18917434413573,0.021532963297109,1.02355057757837
P14.t3,-0.2,0,1,1.01980390271856,1.56210255065967,0.0279816575817184,1.02260538591167,1.68762539859558,0.0302689699495934,1.023129027123,1.34800931398431,0.0240699794865563,1.02147097079573
P15.t1,0,0,1,1,0.278843333242862,0.00944414480386213,1.00808179421288,0.359647742008875,0.0102376401093017,1.00806785755951,0.291195155242306,0.00955681071440413,1.00808047345353
P15.t2,0,0,1,1,0.283115992856929,0.0100388974803251,1.00872639314553,0.34457558297533,0.0106480454599246,1.00876903002751,0.304093299639448,0.0102214931262268,1.00872149691134
P15.t3,0,0,1,1,0.332617213564845,0.011192059323478,1.0095519248939,0.361637218880665,0.0115566980397397,1.00966096321279,0.364911936320397,0.0115038373535974,1.00955968444834
P16.t1,0.2,-0.2,1,1.03923048454133,1.52977077593906,0.0347444973310145,1.05977583931129,1.75086086873787,0.0388664019678623,1.06115952573382,0.861974850032189,0.0223966745970191,1.05515009036791
