Case,OrientationVariance_deg2,VisibilityDisagreement_percent,Method,RMSE_full_cm,RMSE_success_cm,Failure_percent,RMS_bias_cm,RMS_PEB_cm,RMSE_success_over_PEB,MC_CI95_low_cm,MC_CI95_high_cm,DirectionRMSE_deg,RangeRMSE_cm
2,0.04,0,LS,0.875443202667677,0.875443202667677,0,0.0990671870942291,0.826373201137111,1.05937995262073,0.857388574701432,0.893497830633922,0.270530503504952,0.177675374714839
2,0.04,0,GLS,0.875381164958707,0.875381164958707,0,0.0979115087818689,0.826373201137111,1.05930488035449,0.857334810505486,0.893427519411928,0.270512605260336,0.177655070365517
2,0.04,0,WLS,0.998893265844035,0.998893265844035,0,0.163210335431838,0.826373201137111,1.20876773892175,0.976877232862555,1.02090929882551,0.304369765951115,0.205870395226715
2,0.04,0,NLS,0.875443202667677,0.875443202667677,0,0.0990671870942291,0.826373201137111,1.05937995262073,0.857388574701432,0.893497830633922,0.270530503504952,0.177675374714839
2,0.16,0,LS,1.3902987849746,1.3902987849746,0,0.173893270061984,1.2468284145437,1.11506825538894,1.36301586282868,1.41758170712053,0.443469842096666,0.284047588310685
2,0.16,0,GLS,1.39002771781215,1.39002771781215,0,0.169562937023075,1.2468284145437,1.11485085004327,1.36276223777828,1.41729319784603,0.44339193868591,0.283936641216323
2,0.16,0,WLS,1.41630307551226,1.41630307551226,0,0.187955170967565,1.2468284145437,1.13592460597762,1.38778013858607,1.44482601243845,0.449056614770318,0.275553033424754
2,0.16,0,NLS,1.3902987849746,1.3902987849746,0,0.173893270061984,1.2468284145437,1.11506825538894,1.36301586282868,1.41758170712053,0.443469842096666,0.284047588310685
2,0.49,0,LS,2.26774871273546,2.26774871273546,0,0.339700668502102,1.94554322645385,1.16561209327068,2.22381890637927,2.31167851909165,0.732625790087354,0.462790992431859
2,0.49,0,GLS,2.26686816238849,2.26686816238849,0,0.325182890675568,1.94554322645385,1.16515949456457,2.22298125182113,2.31075507295585,0.732374549699844,0.462441749458852
2,0.49,0,WLS,2.18599484217086,2.18599484217086,0,0.238191054856523,1.94554322645385,1.12359099116769,2.14304542820625,2.22894425613548,0.70795655998341,0.41016542971709
2,0.49,0,NLS,2.26774871273546,2.26774871273546,0,0.339700668502102,1.94554322645385,1.16561209327068,2.22381890637927,2.31167851909165,0.732625790087354,0.462790992431859
2,1,0,LS,3.18393159833096,3.18393159833096,0,0.568126687005503,2.6706242874674,1.19220498865093,3.12236706660483,3.2454961300571,1.03242116816749,0.646575178297659
