variant,region,pitch_mm,radii_mm,K,peb_median_m,peb_p95_m,peb_max_m,fraction_peb_1cm,fraction_peb_10cm,fraction_full_rank,minimum_visible_5sigma
pitch2,tile_core,2,"11,12",2,0.118867481205541,3.46315269902007,86.8301600683818,0.0664359861591696,0.474048442906574,1,0
pitch2,tile_ninth,2,"11,12",2,0.349198257417915,7146.78217243783,Inf,0.0110726643598616,0.363321799307958,0.986159169550173,0
pitch2,tile_prism,2,"11,12",2,2.62231431263908,Inf,Inf,0.0332179930795848,0.219377162629758,0.836678200692042,0
pitch2,tile_core,2,"11,13",2,0.0214500483691005,0.168829514891739,2.19654043586829,0.253287197231834,0.894809688581315,1,1
pitch2,tile_ninth,2,"11,13",2,0.0544935632033857,2068.0397682399,Inf,0.161937716262976,0.587543252595156,0.986159169550173,1
pitch2,tile_prism,2,"11,13",2,1.76253494102093,Inf,Inf,0.114878892733564,0.382698961937716,0.836678200692042,0
pitch2,tile_core,2,"11,15",2,0.00520481803156998,0.154885465681898,106.57957414092,0.797923875432526,0.93356401384083,1,1
pitch2,tile_ninth,2,"11,15",2,0.0540697743696053,2553.79028581503,Inf,0.435294117647059,0.540484429065744,0.986159169550173,1
pitch2,tile_prism,2,"11,15",2,3.66210966273317,Inf,Inf,0.296885813148789,0.37439446366782,0.786851211072664,0
pitch2,tile_core,2,"11,17",2,0.00586108527964164,1.07448253654955,124.753924069038,0.662283737024221,0.883737024221453,1,1
pitch2,tile_ninth,2,"11,17",2,0.188211593120609,150861.198109787,Inf,0.324567474048443,0.474048442906574,0.952941176470588,0
pitch2,tile_prism,2,"11,17",2,33.4383833271157,Inf,Inf,0.227681660899654,0.343944636678201,0.695501730103806,0
pitch2,tile_core,2,"11,20",2,0.00989185043050316,30.9285841742682,267.835330657139,0.501730103806228,0.739792387543253,1,0
pitch2,tile_ninth,2,"11,20",2,1.07160628309866,Inf,Inf,0.269204152249135,0.366089965397924,0.86159169550173,0
pitch2,tile_prism,2,"11,20",2,2485.1826079694,Inf,Inf,0.166782006920415,0.288581314878893,0.609688581314879,0
pitch2,tile_core,2,"11,25",2,0.0441719639672079,129.396316356548,3869.90861251359,0.280276816608997,0.595847750865052,1,0
pitch2,tile_ninth,2,"11,25",2,15.3928858607126,Inf,Inf,0.169550173010381,0.343944636678201,0.750865051903114,0
pitch2,tile_prism,2,"11,25",2,59305.4505785577,Inf,Inf,0.116955017301038,0.205536332179931,0.523875432525952,0
pitch2,tile_core,2,"12,13",2,0.0192856566302478,0.143872132969777,0.38565026702822,0.167474048442907,0.908650519031142,1,1
pitch2,tile_ninth,2,"12,13",2,0.05516537559438,9808.02849204787,Inf,0.0899653979238754,0.582006920415225,0.958477508650519,0
pitch2,tile_prism,2,"12,13",2,1.34754798244712,Inf,Inf,0.073356401384083,0.393771626297578,0.795155709342561,0
pitch2,tile_core,2,"12,15",2,0.00494648945411755,0.0327618658360816,0.102615128698445,0.858823529411765,0.997231833910035,1,1
pitch2,tile_ninth,2,"12,15",2,0.0165985041777314,9815.12566541063,Inf,0.449134948096886,0.593079584775086,0.958477508650519,0
pitch2,tile_prism,2,"12,15",2,2.61516346108448,Inf,Inf,0.313494809688581,0.404844290657439,0.786851211072664,0
pitch2,tile_core,2,"12,17",2,0.00453900756625007,0.105292027181533,1.18109221360031,0.767474048442907,0.947404844290657,1,1
pitch2,tile_ninth,2,"12,17",2,0.025344548988285,39224.4026034837,Inf,0.407612456747405,0.529411764705882,0.958477508650519,0
pitch2,tile_prism,2,"12,17",2,26.6633076999673,Inf,Inf,0.294117647058824,0.371626297577855,0.75916955017301,0
pitch2,tile_core,2,"12,20",2,0.0063977891935324,1.31889117786335,3.31754257738367,0.634602076124567,0.856055363321799,1,1
pitch2,tile_ninth,2,"12,20",2,0.298269691157931,Inf,Inf,0.332871972318339,0.465743944636678,0.930795847750865,0
pitch2,tile_prism,2,"12,20",2,584.084670792882,Inf,Inf,0.216608996539792,0.327335640138408,0.645674740484429,0
pitch2,tile_core,2,"12,25",2,0.0204163688610861,5.14360722057686,172.416361998504,0.352249134948097,0.712110726643599,1,0
pitch2,tile_ninth,2,"12,25",2,3.75620994955393,Inf,Inf,0.180622837370242,0.399307958477509,0.792387543252595,0
pitch2,tile_prism,2,"12,25",2,20673.5053250659,Inf,Inf,0.13356401384083,0.252595155709343,0.557093425605536,0
pitch2,tile_core,2,"13,15",2,0.00517103695008427,0.0339953504580007,0.45567290781306,0.839446366782007,0.986159169550173,1,2
pitch2,tile_ninth,2,"13,15",2,0.0204098983703565,Inf,Inf,0.424221453287197,0.565397923875433,0.922491349480969,0
pitch2,tile_prism,2,"13,15",2,5.26788861769408,Inf,Inf,0.316262975778547,0.388235294117647,0.770242214532872,0
pitch2,tile_core,2,"13,17",2,0.0042728458827156,0.0486189082696067,0.45594276380224,0.847750865051903,0.986159169550173,1,2
pitch2,tile_ninth,2,"13,17",2,0.0299093246441595,Inf,Inf,0.402076124567474,0.565397923875433,0.916955017301038,0
pitch2,tile_prism,2,"13,17",2,39.0979857478721,Inf,Inf,0.30242214532872,0.393771626297578,0.75916955017301,0
pitch2,tile_core,2,"13,20",2,0.00493129393245085,0.0894705059818875,1.3916635719109,0.720415224913495,0.969550173010381,1,1
pitch2,tile_ninth,2,"13,20",2,0.158769096872418,Inf,Inf,0.366089965397924,0.468512110726644,0.889273356401384,0
pitch2,tile_prism,2,"13,20",2,893.920922922532,Inf,Inf,0.269204152249135,0.332871972318339,0.68719723183391,0
pitch2,tile_core,2,"13,25",2,0.00884592963412523,0.792063383969516,4.55560344843902,0.515570934256055,0.712110726643599,1,1
pitch2,tile_ninth,2,"13,25",2,3.09947960104372,Inf,Inf,0.288581314878893,0.388235294117647,0.750865051903114,0
pitch2,tile_prism,2,"13,25",2,39172.1616736586,Inf,Inf,0.186159169550173,0.283044982698962,0.593079584775086,0
pitch2,tile_core,2,"15,17",2,0.00409291451408824,0.119157383478617,17.7774798204382,0.656747404844291,0.941868512110727,1,2
pitch2,tile_ninth,2,"15,17",2,0.133374406494525,Inf,Inf,0.341176470588235,0.47681660899654,0.916955017301038,0
pitch2,tile_prism,2,"15,17",2,662.949281585406,Inf,Inf,0.238754325259516,0.335640138408304,0.739792387543253,0
pitch2,tile_core,2,"15,20",2,0.00447810707842197,0.251677300668885,19.6748192637102,0.692733564013841,0.853287197231834,1,1
pitch2,tile_ninth,2,"15,20",2,0.529926052934801,Inf,Inf,0.377162629757785,0.418685121107266,0.916955017301038,0
pitch2,tile_prism,2,"15,20",2,2627.50234859505,Inf,Inf,0.252595155709343,0.307958477508651,0.717647058823529,0
pitch2,tile_core,2,"15,25",2,0.00524455613428305,12.0463573900755,595.973290986455,0.587543252595156,0.770242214532872,1,1
pitch2,tile_ninth,2,"15,25",2,12.3854229716787,Inf,Inf,0.296885813148789,0.415916955017301,0.806228373702422,0
pitch2,tile_prism,2,"15,25",2,150035.482045823,Inf,Inf,0.233217993079585,0.2719723183391,0.617993079584775,0
pitch2,tile_core,2,"17,20",2,0.00833563752202577,2.3054379492494,497.725665523848,0.551557093425606,0.75363321799308,1,1
pitch2,tile_ninth,2,"17,20",2,1.95415894414527,107634505203.631,Inf,0.280276816608997,0.407612456747405,0.958477508650519,0
pitch2,tile_prism,2,"17,20",2,35783.4366224065,Inf,Inf,0.202768166089965,0.285813148788927,0.720415224913495,0
pitch2,tile_core,2,"17,25",2,0.0068837528603794,29.9972843764431,10491.8685049873,0.576470588235294,0.717647058823529,1,1
