BaseIndex,HalfAngle_deg,FOV_deg,K,Pattern,Budget,RequiredArea_mm2,TotalSamples
227,30,70,3,golden_prefix,per_orientation,1746.01321586962,3000
228,45,70,3,golden_prefix,per_orientation,549.589038431188,3000
229,60,70,3,golden_prefix,per_orientation,507.288187679645,3000
230,75,70,3,golden_prefix,per_orientation,590.353467593317,3000
231,15,75,3,golden_prefix,per_orientation,208805498.935427,3000
232,30,75,3,golden_prefix,per_orientation,1746.01321586962,3000
233,45,75,3,golden_prefix,per_orientation,549.589038431188,3000
234,60,75,3,golden_prefix,per_orientation,507.288187679645,3000
235,75,75,3,golden_prefix,per_orientation,590.353467593317,3000
236,15,85,3,golden_prefix,per_orientation,208805498.935427,3000
237,30,85,3,golden_prefix,per_orientation,1746.01321586962,3000
238,45,85,3,golden_prefix,per_orientation,549.589038431188,3000
239,60,85,3,golden_prefix,per_orientation,507.288187679645,3000
240,75,85,3,golden_prefix,per_orientation,590.353467593317,3000
241,15,45,5,golden_prefix,per_orientation,Inf,5000
242,30,45,5,golden_prefix,per_orientation,Inf,5000
243,45,45,5,golden_prefix,per_orientation,Inf,5000
244,60,45,5,golden_prefix,per_orientation,Inf,5000
245,75,45,5,golden_prefix,per_orientation,Inf,5000
246,15,60,5,golden_prefix,per_orientation,Inf,5000
247,30,60,5,golden_prefix,per_orientation,Inf,5000
248,45,60,5,golden_prefix,per_orientation,Inf,5000
249,60,60,5,golden_prefix,per_orientation,Inf,5000
250,75,60,5,golden_prefix,per_orientation,Inf,5000
251,15,65,5,golden_prefix,per_orientation,Inf,5000
252,30,65,5,golden_prefix,per_orientation,Inf,5000
253,45,65,5,golden_prefix,per_orientation,Inf,5000
254,60,65,5,golden_prefix,per_orientation,Inf,5000
255,75,65,5,golden_prefix,per_orientation,Inf,5000
256,15,70,5,golden_prefix,per_orientation,150306508.245768,5000
257,30,70,5,golden_prefix,per_orientation,1205.34130733707,5000
258,45,70,5,golden_prefix,per_orientation,399.874307900849,5000
