BaseIndex,HalfAngle_deg,FOV_deg,K,Pattern,Budget,RequiredArea_mm2,TotalSamples,Area_mm2,RMS_full_cm,RMS_conditional_cm,Worst_cm,RegularCoverage_percent,TargetCoverage_percent,Feasible
12,30,65,3,uniform_cone,per_orientation,Inf,3000,75.4,Inf,18.6197213834967,Inf,99.1546914623838,15.0464919695689,0
12,30,65,3,uniform_cone,per_orientation,Inf,3000,100,Inf,14.0392699231565,Inf,99.1546914623838,21.2172442941674,0
12,30,65,3,uniform_cone,per_orientation,Inf,3000,150,Inf,9.35951328210434,Inf,99.1546914623838,33.0515638207946,0
13,45,65,3,uniform_cone,per_orientation,Inf,3000,25,Inf,21.0427916191441,Inf,99.1546914623838,2.53592561284869,0
13,45,65,3,uniform_cone,per_orientation,Inf,3000,50,Inf,10.5213958095721,Inf,99.1546914623838,8.70667793744717,0
13,45,65,3,uniform_cone,per_orientation,Inf,3000,75.4,Inf,6.9770529241194,Inf,99.1546914623838,13.8630600169062,0
13,45,65,3,uniform_cone,per_orientation,Inf,3000,100,Inf,5.26069790478603,Inf,99.1546914623838,21.3863060016906,0
13,45,65,3,uniform_cone,per_orientation,Inf,3000,150,Inf,3.50713193652402,Inf,99.1546914623838,34.6576500422654,0
14,60,65,3,uniform_cone,per_orientation,Inf,3000,25,Inf,21.2284751648945,Inf,99.1546914623838,1.0989010989011,0
14,60,65,3,uniform_cone,per_orientation,Inf,3000,50,Inf,10.6142375824473,Inf,99.1546914623838,5.57903634826712,0
14,60,65,3,uniform_cone,per_orientation,Inf,3000,75.4,Inf,7.03861908650349,Inf,99.1546914623838,11.0735418427726,0
14,60,65,3,uniform_cone,per_orientation,Inf,3000,100,Inf,5.30711879122364,Inf,99.1546914623838,18.2586644125106,0
14,60,65,3,uniform_cone,per_orientation,Inf,3000,150,Inf,3.53807919414909,Inf,99.1546914623838,31.8681318681319,0
15,75,65,3,uniform_cone,per_orientation,Inf,3000,25,Inf,23.9986304715981,Inf,99.1546914623838,0.760777683854607,0
15,75,65,3,uniform_cone,per_orientation,Inf,3000,50,Inf,11.999315235799,Inf,99.1546914623838,4.22654268808115,0
15,75,65,3,uniform_cone,per_orientation,Inf,3000,75.4,Inf,7.95710559403119,Inf,99.1546914623838,9.04480135249366,0
15,75,65,3,uniform_cone,per_orientation,Inf,3000,100,Inf,5.99965761789952,Inf,99.1546914623838,14.4547759932375,0
15,75,65,3,uniform_cone,per_orientation,Inf,3000,150,Inf,3.99977174526635,Inf,99.1546914623838,27.3879966187658,0
16,15,70,3,uniform_cone,per_orientation,191112927.977673,3000,25,15289034.2382138,15289034.2382138,250932901.09507,100,3.97295012679628,0
