Session folder: output/sub1_radiometric/20260722_182801
Console log:    output/sub1_radiometric/20260722_182801/run.log
=========================================================
 SUB-DATASET 1: Radiometric calibration R(phi)
=========================================================
  Inclination:        0 to 70 deg (step 2)
  Azimuth:            0 to 360 deg (step 2)
  Fixed LED-PD dist:  1 m
  Acquisition:        1 s (1000 samples @ 1000 Hz)
  Total orientations: 6301
  Estimated time:     157.5 min
=========================================================

--- Robot base position (global frame, meters) ---
Robot base X [m]: Robot base Y [m]: Sending robot base to (-0.5, -0.5, 0.6) [calibration offset included]...
Sending PD to (0.0, 0.0, 1.0)...
[Info] Sending command for receiver to face upward (vertical)...
PD in position, pointing to the zenith.

--- Session metadata (press Enter to accept the [default]) ---
Operator [Kevin]: LED serial [SFH4725S]: PD serial [BPX61]: I_LED [mA] (manual) [500]: T_ambient [C] (manual) [26]: T_LED [C] (manual) [31]: Comment / reason [NA]: Moving gimbal to (0,0)...

=== STARTING R(phi) SWEEP ===

[18:36:44] 134/6301  inc=2.000000  az=264.000000  ->  V = 8.735827 V
[18:36:48] 135/6301  inc=2.000000  az=266.000000  ->  V = 8.735652 V
[18:36:51] 136/6301  inc=2.000000  az=268.000000  ->  V = 8.748233 V
[18:36:55] 137/6301  inc=2.000000  az=270.000000  ->  V = 8.733929 V
[18:36:59] 138/6301  inc=2.000000  az=272.000000  ->  V = 8.735542 V
[18:37:02] 139/6301  inc=2.000000  az=274.000000  ->  V = 8.745570 V
[18:37:05] 140/6301  inc=2.000000  az=276.000000  ->  V = 8.709041 V
[18:37:09] 141/6301  inc=2.000000  az=278.000000  ->  V = 8.703989 V
[18:37:12] 142/6301  inc=2.000000  az=280.000000  ->  V = 8.722012 V
[18:37:16] 143/6301  inc=2.000000  az=282.000000  ->  V = 8.722047 V
[18:37:20] 144/6301  inc=2.000000  az=284.000000  ->  V = 8.710040 V
[18:37:24] 145/6301  inc=2.000000  az=286.000000  ->  V = 8.713765 V
[18:37:27] 146/6301  inc=2.000000  az=288.000000  ->  V = 8.715489 V
[18:37:30] 147/6301  inc=2.000000  az=290.000000  ->  V = 8.721658 V
[18:37:33] 148/6301  inc=2.000000  az=292.000000  ->  V = 8.720198 V
[18:37:37] 149/6301  inc=2.000000  az=294.000000  ->  V = 8.723007 V
[18:37:41] 150/6301  inc=2.000000  az=296.000000  ->  V = 8.716223 V
[18:37:44] 151/6301  inc=2.000000  az=298.000000  ->  V = 8.765510 V
[18:37:48] 152/6301  inc=2.000000  az=300.000000  ->  V = 8.761624 V
[18:37:51] 153/6301  inc=2.000000  az=302.000000  ->  V = 8.718126 V
[18:37:54] 154/6301  inc=2.000000  az=304.000000  ->  V = 8.697507 V
[18:37:58] 155/6301  inc=2.000000  az=306.000000  ->  V = 8.684177 V
[18:38:01] 156/6301  inc=2.000000  az=308.000000  ->  V = 8.704370 V
[18:38:05] 157/6301  inc=2.000000  az=310.000000  ->  V = 8.724733 V
[18:38:08] 158/6301  inc=2.000000  az=312.000000  ->  V = 8.720039 V
[18:38:12] 159/6301  inc=2.000000  az=314.000000  ->  V = 8.721425 V
[18:38:14] 160/6301  inc=2.000000  az=316.000000  ->  V = 8.715087 V
[18:38:18] 161/6301  inc=2.000000  az=318.000000  ->  V = 8.730238 V
