Angular_Displacement_Degrees,Relative_Intensity_Percent
-76.62971175166297,2.8112449799196804
-76.43015521064302,2.208835341365467
-76.43015521064302,2.6104417670682722
-76.43015521064302,3.0120481927710885
-76.43015521064302,2.409638554216864
-76.43015521064302,2.8112449799196804
-76.23059866962306,2.6104417670682722
-76.23059866962306,2.409638554216864
-76.23059866962306,2.8112449799196804
-76.23059866962306,2.208835341365467
-76.23059866962306,3.0120481927710885
-76.0310421286031,2.6104417670682722
-76.0310421286031,2.8112449799196804
-76.0310421286031,2.208835341365467
-76.0310421286031,2.409638554216864
-76.0310421286031,3.0120481927710885
-75.83148558758315,2.409638554216864
-75.83148558758315,2.6104417670682722
-75.83148558758315,2.8112449799196804
-75.83148558758315,3.0120481927710885
-75.63192904656319,2.6104417670682722
-75.63192904656319,3.0120481927710885
-75.63192904656319,2.409638554216864
-75.63192904656319,2.8112449799196804
-75.43237250554324,2.8112449799196804
-75.43237250554324,3.0120481927710885
-75.43237250554324,2.409638554216864
-75.43237250554324,2.6104417670682722
-75.43237250554324,3.2128514056224855
-75.23281596452328,2.6104417670682722
-75.23281596452328,3.2128514056224855
-75.23281596452328,2.8112449799196804
-75.23281596452328,2.409638554216864
-75.23281596452328,3.0120481927710885
-75.03325942350332,3.2128514056224855
-75.03325942350332,2.6104417670682722
-75.03325942350332,2.8112449799196804
-75.03325942350332,3.0120481927710885
-74.83370288248337,2.8112449799196804
-74.83370288248337,3.0120481927710885
-74.83370288248337,2.6104417670682722
-74.83370288248337,3.2128514056224855
-74.6341463414634,3.4136546184738936
-74.6341463414634,3.2128514056224855
-74.6341463414634,2.6104417670682722
-74.6341463414634,2.8112449799196804
-74.6341463414634,3.0120481927710885
-74.43458980044346,2.8112449799196804
-74.43458980044346,2.6104417670682722
-74.43458980044346,3.0120481927710885
-74.43458980044346,3.2128514056224855
-74.43458980044346,3.4136546184738936
-74.2350332594235,3.4136546184738936
-74.2350332594235,3.0120481927710885
-74.2350332594235,2.8112449799196804
-74.2350332594235,3.2128514056224855
-74.03547671840354,2.8112449799196804
-74.03547671840354,3.4136546184738936
-74.03547671840354,3.0120481927710885
-74.03547671840354,3.2128514056224855
-73.8359201773836,2.8112449799196804
-73.8359201773836,3.4136546184738936
-73.8359201773836,3.6144578313253017
-73.8359201773836,3.0120481927710885
-73.8359201773836,3.2128514056224855
-73.63636363636364,3.6144578313253017
-73.63636363636364,2.8112449799196804
-73.63636363636364,3.2128514056224855
-73.63636363636364,3.0120481927710885
-73.63636363636364,3.4136546184738936
-73.43680709534368,3.6144578313253017
-73.43680709534368,3.4136546184738936
-73.43680709534368,3.2128514056224855
-73.43680709534368,3.0120481927710885
-73.23725055432372,3.6144578313253017
-73.23725055432372,3.81526104417671
-73.23725055432372,3.4136546184738936
-73.23725055432372,3.2128514056224855
-73.23725055432372,3.0120481927710885
-73.03769401330376,3.6144578313253017
-73.03769401330376,3.4136546184738936
-73.03769401330376,3.2128514056224855
-73.03769401330376,3.0120481927710885
-73.03769401330376,3.81526104417671
-72.83813747228382,3.6144578313253017
-72.83813747228382,3.81526104417671
-72.83813747228382,3.2128514056224855
-72.83813747228382,3.4136546184738936
-72.63858093126386,3.2128514056224855
-72.63858093126386,3.4136546184738936
-72.63858093126386,3.81526104417671
-72.63858093126386,4.016064257028118
-72.63858093126386,3.6144578313253017
-72.4390243902439,3.6144578313253017
-72.4390243902439,3.2128514056224855
-72.4390243902439,3.81526104417671
