Case,Area_mm2,RMS_full_cm,RMS_conditional_cm,Coverage_percent
2,74.1134449106948,0.50420921248069,0.50420921248069,100
2,79.8771848326912,0.467826723875208,0.467826723875208,100
2,86.0891659331735,0.434069505582848,0.434069505582848,100
2,92.7842475494485,0.402748124596657,0.402748124596657,100
2,100,0.373686816926524,0.373686816926524,100
3,5,6.75619239919999,6.75619239919999,100
3,5.38884577076006,6.26868228059074,6.26868228059074,100
3,5.80793174820771,5.81634968531173,5.81634968531173,100
3,6.25960968763844,5.39665629036121,5.39665629036121,100
3,6.74641423836782,5.00724693184163,5.00724693184163,100
3,7.27107716724477,4.64593638865211,4.64593638865211,100
3,7.8365426883154,4.31069711983688,4.31069711983688,100
3,8.44598398466182,3.9996478867764,3.9996478867764,100
3,9.1028210151304,3.7110431963729,3.7110431963729,100
3,9.81073970587425,3.4432635059896,3.4432635059896,100
3,10.5737126344056,3.19480613517721,3.19480613517721,100
3,11.3960213222298,2.96427683318779,2.96427683318779,100
3,12.2822802611579,2.75038195495592,2.75038195495592,100
3,13.2374628081261,2.55192120164166,2.55192120164166,100
3,14.2669290938328,2.36778088499806,2.36778088499806,100
3,15.3764561018069,2.19692767776512,2.19692767776512,100
3,16.5722700866999,2.03840281501994,2.03840281501994,100
3,17.8610815137213,1.89131671394303,1.89131671394303,100
3,19.2501227152835,1.754843981809,1.754843981809,100
3,20.7471884761735,1.62821878418826,1.62821878418826,100
3,22.3606797749979,1.51073054736786,1.51073054736786,100
3,24.0996509273635,1.40171997087493,1.40171997087493,100
3,25.9738603953433,1.30057532772665,1.30057532772665,100
3,26.4,1.27958189378788,1.27958189378788,100
3,27.9938255483516,1.20672903164495,1.20672903164495,100
3,30.1708816827258,1.11965445197251,1.11965445197251,100
3,32.5172456312118,1.0388629584166,1.0388629584166,100
3,35.0460843193044,0.963901179036782,0.963901179036782,100
3,37.7715886531567,0.894348456089541,0.894348456089541,100
3,40.7090531536905,0.82981448545279,0.82981448545279,100
3,43.8749617837822,0.7699371263837,0.7699371263837,100
3,47.2870804501588,0.714380369318963,0.714380369318963,100
3,50.9645566990858,0.662832450313571,0.662832450313571,100
3,54.9280271653059,0.615004101537019,0.615004101537019,100
3,59.1997333771905,0.57062692800937,0.57062692800937,100
3,63.8036465679591,0.529451901468028,0.529451901468028,100
3,68.7656021933632,0.491247962913357,0.491247962913357,100
3,74.1134449106948,0.455800725991152,0.455800725991152,100
3,79.8771848326912,0.422911273935814,0.422911273935814,100
3,86.0891659331735,0.392395043323132,0.392395043323132,100
3,92.7842475494485,0.364080788368701,0.364080788368701,100
3,100,0.337809619959999,0.337809619959999,100
