2.41479963620503e-08,9.47162675434201e-09,1.49121682268774e-07,2.40982642372455e-08,-1.4,-1.4
2.71009619959763e-08,1.01288473399664e-08,1.61202682442722e-07,2.51599497911706e-08,-1.4,-1.3
3.16051556384099e-08,1.09406485005928e-08,1.72346996966856e-07,2.60802239493645e-08,-1.4,-1.2
3.59045482792594e-08,1.15702857066505e-08,1.82060489204135e-07,2.668623585561e-08,-1.4,-1.1
4.11702527190401e-08,1.28730777932827e-08,1.90217602861144e-07,2.77077595272038e-08,-1.4,-1
4.71172756361939e-08,1.38127344403914e-08,1.95859441367214e-07,2.79743887979032e-08,-1.4,-0.9
5.3916381847942e-08,1.48427716970879e-08,1.99104501031599e-07,2.78345599719372e-08,-1.4,-0.8
6.10795565663381e-08,1.50004358534869e-08,1.98644839480059e-07,2.75794064361638e-08,-1.4,-0.7
6.95682925447415e-08,1.62523842946339e-08,1.96031259261898e-07,2.75778426420518e-08,-1.4,-0.6
7.87945285122036e-08,1.76752963107101e-08,1.90527525098296e-07,2.72915805666461e-08,-1.4,-0.5
8.9554115607388e-08,1.88859411922384e-08,1.82419151585367e-07,2.67037934155172e-08,-1.4,-0.4
1.0002400956376e-07,1.98288943332611e-08,1.72213165143649e-07,2.59880089078979e-08,-1.4,-0.3
1.11153810674063e-07,2.13804724728768e-08,1.61176002314569e-07,2.49145091941135e-08,-1.4,-0.2
1.24121250756736e-07,2.15516432559818e-08,1.49629927061727e-07,2.37140817609174e-08,-1.4,-0.0999999999999999
1.36501082541533e-07,2.27984298428654e-08,1.36779002117407e-07,2.34243450775062e-08,-1.4,0
1.48743346745481e-07,2.41918558380771e-08,1.23988680496245e-07,2.20969259192873e-08,-1.4,0.0999999999999999
1.61094653540482e-07,2.5359666348604e-08,1.12394714887421e-07,2.13505357098236e-08,-1.4,0.2
1.73148214255104e-07,2.64346159027338e-08,9.99983109417649e-08,2.01725437674151e-08,-1.4,0.3
1.82274544305385e-07,2.68465097877123e-08,8.82666093311191e-08,1.87986130874782e-08,-1.4,0.4
1.90709803596614e-07,2.64967875291777e-08,7.86758640414984e-08,1.75675360839354e-08,-1.4,0.5
1.96132342081824e-07,2.74385807669975e-08,6.91797103256932e-08,1.66543050591478e-08,-1.4,0.6
1.98143102691759e-07,2.76997589645937e-08,6.08220455924495e-08,1.541050548818e-08,-1.4,0.7
1.98003872889749e-07,2.77924569243507e-08,5.38447175899709e-08,1.46998941479679e-08,-1.4,0.8
1.95689917933519e-07,2.69886279554419e-08,4.7458549312853e-08,1.33545892941069e-08,-1.4,0.9
1.90811442830828e-07,2.7215452264107e-08,4.11127259008458e-08,1.21788055655931e-08,-1.4,1
1.82654966377572e-07,2.66736319906394e-08,3.56203129097369e-08,1.18447322200303e-08,-1.4,1.1
1.73108522880971e-07,2.58692199234381e-08,3.11474397733881e-08,1.11221621454539e-08,-1.4,1.2
1.61900584589589e-07,2.48818164005953e-08,2.74528627402248e-08,1.02795108698567e-08,-1.4,1.3
1.49189432008135e-07,2.42689512400769e-08,2.40917687767255e-08,9.43186127689278e-09,-1.4,1.4
1.36653915466645e-07,2.36157832361749e-08,2.06367473684261e-08,8.85028810147189e-09,-1.4,1.5
2.19409889210431e-08,9.53684658388142e-09,1.47157392981848e-07,2.62434850054871e-08,-1.3,-1.5
2.51637378888801e-08,1.05886604558858e-08,1.61747096582498e-07,2.74175209812782e-08,-1.3,-1.4
2.91439150014203e-08,1.14017242012967e-08,1.74828337107505e-07,2.90710576750942e-08,-1.3,-1.3
3.32735346314479e-08,1.130572348444e-08,1.87248340690494e-07,2.97233686611995e-08,-1.3,-1.2
3.83412022374357e-08,1.24890742787535e-08,1.99004522520586e-07,3.0167374883078e-08,-1.3,-1.1
4.33270852506543e-08,1.31647402895561e-08,2.0724783189124e-07,3.04295802771782e-08,-1.3,-1
4.95868019410688e-08,1.47133885292758e-08,2.13329728508504e-07,3.08461776670265e-08,-1.3,-0.9
5.60906047579968e-08,1.58403932540099e-08,2.16406371468161e-07,3.18330606716583e-08,-1.3,-0.8
6.48037883133948e-08,1.74693288154076e-08,2.1656003353483e-07,3.18918262580767e-08,-1.3,-0.7
7.35865858855481e-08,1.79898648462737e-08,2.1347219147951e-07,3.14439360348994e-08,-1.3,-0.6
8.35233306969841e-08,1.99033405018462e-08,2.07855844185303e-07,3.10945425216168e-08,-1.3,-0.5
9.44554451707289e-08,2.12891062232151e-08,1.99425291198839e-07,3.09685912536271e-08,-1.3,-0.4
1.0645443807589e-07,2.19893993538191e-08,1.87330995883205e-07,2.95712113926395e-08,-1.3,-0.3
1.20419664771508e-07,2.33643413331262e-08,1.75384993069617e-07,2.87582396505025e-08,-1.3,-0.2
1.33394706898574e-07,2.5630493401619e-08,1.61735928128799e-07,2.73659145191425e-08,-1.3,-0.0999999999999999
1.47318810365244e-07,2.71771792850613e-08,1.47982106318686e-07,2.651692827956e-08,-1.3,0
1.61705864930478e-07,2.76321960786593e-08,1.34051500301873e-07,2.5597059736817e-08,-1.3,0.0999999999999999
1.75294504389905e-07,2.8414142405242e-08,1.19734421156345e-07,2.35808351179737e-08,-1.3,0.2
1.87956501473753e-07,2.96194268475884e-08,1.06904252535684e-07,2.24227181264573e-08,-1.3,0.3
1.97917673855468e-07,2.98851835430689e-08,9.48648739496505e-08,2.0529362436903e-08,-1.3,0.4
2.07511352093627e-07,3.13835504834688e-08,8.37645931662343e-08,1.96214571954358e-08,-1.3,0.5
2.13473996999588e-07,3.11120165299756e-08,7.36128759669696e-08,1.84558608913292e-08,-1.3,0.6
2.16692802901722e-07,3.1667470701135e-08,6.49576792785671e-08,1.70808713591987e-08,-1.3,0.7
2.1656074690843e-07,3.18436324658632e-08,5.60896624414977e-08,1.58547505748147e-08,-1.3,0.8
2.13782656512914e-07,3.1897864637048e-08,4.93257572737228e-08,1.48246457402324e-08,-1.3,0.9
2.07692991823902e-07,3.07759868187757e-08,4.34946854614756e-08,1.36831844599542e-08,-1.3,1
1.98112147718153e-07,3.05687667383007e-08,3.743511462253e-08,1.28392064523878e-08,-1.3,1.1
1.87667992401506e-07,2.98718131822798e-08,3.24827359678956e-08,1.2007792870076e-08,-1.3,1.2
1.75345944190619e-07,2.81299546958095e-08,2.87531468205352e-08,1.10180456920645e-08,-1.3,1.3
1.62222221377018e-07,2.80931800195749e-08,2.44622488315155e-08,1.00564864725834e-08,-1.3,1.4
1.48011065663091e-07,2.63283305774925e-08,2.31223022497696e-08,9.57188463821949e-09,-1.3,1.5
2.22253600526895e-08,1.02181608415463e-08,1.5723132710596e-07,2.9957890508343e-08,-1.2,-1.5
2.57901182539552e-08,1.09387558264727e-08,1.72951733515007e-07,3.17074762180998e-08,-1.2,-1.4
2.94455866802322e-08,1.14570288182183e-08,1.87442359218077e-07,3.26692093833263e-08,-1.2,-1.3
3.38204847837254e-08,1.28257835461581e-08,2.01525482845338e-07,3.4209829726458e-08,-1.2,-1.2
3.92746862025847e-08,1.39666386229913e-08,2.13909904960382e-07,3.49429977299979e-08,-1.2,-1.1
4.40713221579544e-08,1.47992617593482e-08,2.23332073304529e-07,3.58889397056428e-08,-1.2,-1
5.07132332548741e-08,1.58467316422867e-08,2.30164444918514e-07,3.66744099974015e-08,-1.2,-0.9
5.87272956949846e-08,1.72576634360744e-08,2.34294386138282e-07,3.73514522437464e-08,-1.2,-0.8
6.75439461798489e-08,1.91384684531231e-08,2.33491283411207e-07,3.67358279249551e-08,-1.2,-0.7
7.75271645571061e-08,2.02504594606897e-08,2.30212682187029e-07,3.61492480757581e-08,-1.2,-0.6
8.88095729101088e-08,2.18667779343548e-08,2.23477074190616e-07,3.55536833847143e-08,-1.2,-0.5
1.00061311114574e-07,2.34951601092704e-08,2.14005163189775e-07,3.49977871437298e-08,-1.2,-0.4
1.13445883712406e-07,2.47373599292414e-08,2.0162912894429e-07,3.36025159032239e-08,-1.2,-0.3
1.27141508161052e-07,2.68812223703019e-08,1.87662207291699e-07,3.28014599460832e-08,-1.2,-0.2
1.42202311640328e-07,2.88423985240393e-08,1.72873902483968e-07,3.12388608478652e-08,-1.2,-0.0999999999999999
1.57135232856925e-07,3.00083876929028e-08,1.57467356726763e-07,2.98868307217589e-08,-1.2,0
1.72836023962775e-07,3.14691193632134e-08,1.41815982004441e-07,2.79500310101356e-08,-1.2,0.0999999999999999
