Case,OrientationVariance_deg2,VisibilityDisagreement_percent,Method,RMSE_full_cm,RMSE_success_cm,Failure_percent,RMS_bias_cm,RMS_PEB_cm,RMSE_success_over_PEB,MC_CI95_low_cm,MC_CI95_high_cm,DirectionRMSE_deg,RangeRMSE_cm
2,0.04,0,LS,1.06863531558628,1.06863531558628,0,0.086156302179538,1.0583852813601,1.00968459634379,1.0465140249625,1.09075660621005,0.334232487378975,0.1756129320893
2,0.04,0,GLS,1.06864826659703,1.06864826659703,0,0.0861070266392276,1.0583852813601,1.00969683291867,1.04652767179327,1.09076886140078,0.334235613070492,0.175627357080372
2,0.04,0,WLS,1.19373746377982,1.19373746377982,0,0.158081374011463,1.0583852813601,1.12788554867826,1.16837233288247,1.21910259467717,0.368614235820771,0.217449267090099
2,0.04,0,NLS,1.06863531558628,1.06863531558628,0,0.086156302179538,1.0583852813601,1.00968459634379,1.0465140249625,1.09075660621005,0.334232487378975,0.1756129320893
2,0.16,0,LS,1.85384540200645,1.85384540200645,0,0.139598590356276,1.85280837828561,1.0005597037087,1.81708072116291,1.89061008284999,0.592786749045928,0.279953716436932
2,0.16,0,GLS,1.85385722842334,1.85385722842334,0,0.139601257257175,1.85280837828561,1.00056608667686,1.8170923155001,1.89062214134659,0.592789517361436,0.279975261485635
2,0.16,0,WLS,1.92845674058798,1.92845674058798,0,0.192267758682025,1.85280837828561,1.04082902646002,1.89036525608602,1.96654822508994,0.612992968310554,0.309180576883969
2,0.16,0,NLS,1.85384540200645,1.85384540200645,0,0.139598590356276,1.85280837828561,1.0005597037087,1.81708072116291,1.89061008284999,0.592786749045928,0.279953716436932
2,0.49,0,LS,3.11934870582359,3.11934870582359,0,0.234127918074355,3.12935735646649,0.996801691368925,3.0578944157096,3.18080299593757,1.00482596124454,0.45744590417564
2,0.49,0,GLS,3.11935958312089,3.11935958312089,0,0.234172179170676,3.12935735646649,0.996805167257444,3.0579048797311,3.18081428651069,1.00482847964776,0.457478686280835
2,0.49,0,WLS,3.1640584511506,3.1640584511506,0,0.269400478806239,3.12935735646649,1.01108888846217,3.10225494820154,3.22586195409967,1.01702418516405,0.477572341648179
2,0.49,0,NLS,3.11934870582359,3.11934870582359,0,0.234127918074355,3.12935735646649,0.996801691368925,3.0578944157096,3.18080299593757,1.00482596124454,0.45744590417564
2,1,0,LS,4.40941724412575,4.40941724412575,0,0.338561312810076,4.42966536733476,0.995428972274445,4.32250881331564,4.49632567493586,1.42353114754019,0.643015735639425
