sample_id,x,y,z,inclinacion,azimuth,mean,median
20251218_134033_33,-0.78,0.4,0.8,58,272,0.03256455092,0.0326945
20251218_134033_33,-0.78,0.4,0.8,58,360,0.195481716,0.195563
20251218_134033_34,0.62,0.6,0.8,0,0,0.206456827,0.206421
20251218_134033_34,0.62,0.6,0.8,34,182,0.0375637953,0.0376299
20251218_134033_34,0.62,0.6,0.8,37,267,0.0533139897999999,0.0534232
20251218_134033_34,0.62,0.6,0.8,37,355,0.247781722,0.247549
20251218_134033_34,0.62,0.6,0.8,42,78,0.17176444,0.171544
20251218_134033_34,0.62,0.6,0.8,53,97,0.0729322354999999,0.0728358
20251218_134033_34,0.62,0.6,0.8,57,179,0.0254437558,0.0254559
20251218_134033_34,0.62,0.6,0.8,58,272,0.03280177845,0.0326945
20251218_134033_34,0.62,0.6,0.8,58,360,0.195187269,0.195234
20251218_134033_35,0.82,0.6,0.8,0,0,0.206287052,0.206421
20251218_134033_35,0.82,0.6,0.8,34,182,0.03764671102,0.0376299
20251218_134033_35,0.82,0.6,0.8,37,267,0.0532337067,0.0530942
20251218_134033_35,0.82,0.6,0.8,37,355,0.247221734,0.24722
20251218_134033_35,0.82,0.6,0.8,42,78,0.171347246,0.171215
20251218_134033_35,0.82,0.6,0.8,53,97,0.0729332229,0.0731649
20251218_134033_35,0.82,0.6,0.8,57,179,0.025647753059,0.025785
20251218_134033_35,0.82,0.6,0.8,58,272,0.03259087315,0.0326945
20251218_134033_35,0.82,0.6,0.8,58,360,0.19516687,0.195234
20251218_134033_36,0.82,0.8,0.8,0,0,0.20630878,0.206092
20251218_134033_36,0.82,0.8,0.8,34,182,0.0375104936,0.0376299
20251218_134033_36,0.82,0.8,0.8,37,267,0.0531929089999999,0.0530942
20251218_134033_36,0.82,0.8,0.8,37,355,0.24704045,0.24722
20251218_134033_36,0.82,0.8,0.8,42,78,0.1712548,0.171215
20251218_134033_36,0.82,0.8,0.8,53,97,0.0729579,0.0728358
