HalfAngle_deg,FOV_deg,Tilt_deg,RMS_full_cm,RMS_conditional_cm,Coverage_percent,Nonregular_percent
30,45,65,Inf,717.216069078519,36.4955357142857,0
30,45,66,Inf,732.8896907724,31.6964285714286,0
30,45,67,Inf,786.10804623708,29.1294642857143,0
30,45,68,Inf,868.431050182783,25.3348214285714,0
30,45,69,Inf,957.030084826794,21.7633928571429,0
30,45,70,Inf,1049.80182139419,18.8616071428571,0
30,45,71,Inf,1168.74331670078,16.2946428571429,0
30,45,72,Inf,1320.66425831061,13.8392857142857,0
30,45,73,Inf,1499.67622181547,11.71875,0
30,45,74,Inf,1708.97541296835,9.93303571428571,0
30,45,75,Inf,1997.82331927128,8.03571428571429,0
30,45,76,Inf,2336.38581932572,6.47321428571429,0
30,45,77,Inf,2727.86676455587,5.35714285714286,0
30,45,78,Inf,3190.11644488997,4.12946428571429,0
30,45,79,Inf,3741.03412801585,3.45982142857143,0
30,45,80,Inf,4413.09191559682,2.67857142857143,0
30,45,81,Inf,5896.55643876477,1.67410714285714,0
30,45,82,Inf,4433.69430250401,1.45089285714286,0
30,45,83,Inf,4841.27847044982,1.22767857142857,0
30,45,84,Inf,6468.99950086223,0.892857142857143,0
30,45,85,Inf,10590.8532807629,0.446428571428571,0
30,60,0,Inf,NaN,0,0
30,60,1,Inf,1132.80060564409,93.4151785714286,0
30,60,2,Inf,453.062705413773,93.5267857142857,0
30,60,3,Inf,501.821482010212,94.6428571428571,0
30,60,4,Inf,439.161409183032,95.5357142857143,0
30,60,5,Inf,414.326849538541,96.3169642857143,0
30,60,6,Inf,417.474948980319,96.875,0
30,60,7,Inf,453.677225601999,97.5446428571429,0
30,60,8,Inf,431.028797240152,98.1026785714286,0
30,60,9,Inf,434.876296051487,98.4375,0
30,60,10,Inf,440.534629770218,98.6607142857143,0
30,60,11,Inf,470.173300699391,98.9955357142857,0
30,60,12,Inf,434.113100735489,99.1071428571429,0
30,60,13,Inf,456.894474300274,99.4419642857143,0
30,60,14,Inf,554.948366417164,99.7767857142857,0
30,60,15,Inf,529.277009427183,99.7767857142857,0
30,60,16,Inf,507.566862585611,99.7767857142857,0
30,60,17,Inf,487.876826355053,99.7767857142857,0
30,60,18,538.036611519031,538.036611519031,100,0
30,60,19,498.016479733349,498.016479733349,100,0
30,60,20,481.315341220441,481.315341220441,100,0
30,60,21,462.637969523203,462.637969523203,100,0
30,60,22,451.682073988513,451.682073988513,100,0
30,60,23,441.894988120271,441.894988120271,100,0
30,60,24,430.616956558652,430.616956558652,100,0
30,60,25,422.842654601465,422.842654601465,100,0
30,60,26,415.983277346104,415.983277346104,100,0
30,60,27,409.806889390059,409.806889390059,100,0
30,60,28,404.336395383756,404.336395383756,100,0
30,60,29,359.590039444267,359.590039444267,100,0
30,60,30,355.765908616845,355.765908616845,100,0
30,60,31,352.222346340054,352.222346340054,100,0
30,60,32,349.392335585302,349.392335585302,100,0
30,60,33,346.88530988332,346.88530988332,100,0
30,60,34,344.677642725322,344.677642725322,100,0
30,60,35,343.4031314825,343.4031314825,100,0
30,60,36,342.649523391267,342.649523391267,100,0
30,60,37,341.538877356363,341.538877356363,100,0
30,60,38,340.937850879741,340.937850879741,100,0
30,60,39,341.903309258599,341.903309258599,100,0
30,60,40,342.110653104891,342.110653104891,100,0
30,60,41,342.754915370289,342.754915370289,100,0
30,60,42,343.15476202924,343.15476202924,100,0
30,60,43,343.835617789856,343.835617789856,100,0
30,60,44,344.82146380764,344.82146380764,100,0
30,60,45,Inf,347.836381451689,99.5535714285714,0.446428571428571
30,60,46,348.828700787446,348.828700787446,100,0
30,60,47,350.847694876406,350.847694876406,100,0
30,60,48,357.30835182695,357.30835182695,100,0
30,60,49,361.066466325754,361.066466325754,100,0
30,60,50,364.101468404152,364.101468404152,100,0
30,60,51,368.077054324543,368.077054324543,100,0
30,60,52,372.047659575986,372.047659575986,100,0
30,60,53,377.203959079256,377.203959079256,100,0
30,60,54,384.153433397887,384.153433397887,100,0
30,60,55,392.166093390001,392.166093390001,100,0
30,60,56,399.936139277453,399.936139277453,100,0
30,60,57,408.87628041201,408.87628041201,100,0
30,60,58,416.095313958408,416.095313958408,100,0
30,60,59,424.164673511212,424.164673511212,100,0
30,60,60,432.700181510343,432.700181510343,100,0
30,60,61,444.870357717024,444.870357717024,100,0
30,60,62,454.957259572118,454.957259572118,100,0
30,60,63,Inf,468.53045808681,99.5535714285714,0
30,60,63.434948822922,Inf,474.486102404405,99.3303571428571,0
30,60,64,Inf,481.90667089008,99.1071428571429,0
30,60,65,Inf,497.315399626218,98.5491071428571,0
30,60,66,Inf,520.9388470738,97.8794642857143,0
30,60,67,Inf,539.420778559737,97.0982142857143,0
30,60,68,Inf,616.967206692692,96.2053571428571,0
30,60,69,Inf,642.437549227298,95.0892857142857,0
30,60,70,Inf,672.325340061376,93.8616071428571,0
30,60,71,Inf,713.667058443907,92.1875,0
30,60,72,Inf,764.161689612217,90.2901785714286,0
30,60,73,Inf,813.879206279721,88.5044642857143,0
30,60,74,Inf,876.541613615006,86.0491071428571,0
30,60,75,Inf,941.430252355744,83.3705357142857,0
30,60,76,Inf,1021.50176571666,79.4642857142857,0
30,60,77,Inf,1110.73239892372,76.2276785714286,0
30,60,78,Inf,1221.85213670072,72.3214285714286,0
30,60,79,Inf,1357.28743373364,68.3035714285714,0
30,60,80,Inf,1532.72524867535,63.7276785714286,0
30,60,81,Inf,1753.93570178806,59.2633928571429,0
30,60,82,Inf,2102.68764895235,54.3526785714286,0
30,60,83,Inf,2467.00143822466,50.5580357142857,0
30,60,84,Inf,2998.08652954339,45.2008928571429,0
30,60,85,Inf,3670.86241013441,42.0758928571429,0
30,75,0,Inf,NaN,0,0
30,75,1,705.323962258226,705.323962258226,100,0
30,75,2,352.952598773981,352.952598773981,100,0
30,75,3,235.624957284616,235.624957284616,100,0
30,75,4,177.05860316707,177.05860316707,100,0
30,75,5,141.997165404651,141.997165404651,100,0
30,75,6,124.05862275448,124.05862275448,100,0
30,75,7,117.15085015313,117.15085015313,100,0
30,75,8,117.852309651877,117.852309651877,100,0
30,75,9,110.133907336115,110.133907336115,100,0
30,75,10,110.748234253879,110.748234253879,100,0
30,75,11,108.262644836314,108.262644836314,100,0
30,75,12,104.199061060463,104.199061060463,100,0
30,75,13,113.55179589668,113.55179589668,100,0
30,75,14,112.864351639717,112.864351639717,100,0
30,75,15,109.805489774993,109.805489774993,100,0
30,75,16,105.500665877813,105.500665877813,100,0
30,75,17,101.929214477291,101.929214477291,100,0
30,75,18,103.682163501381,103.682163501381,100,0
30,75,19,113.639856746529,113.639856746529,100,0
30,75,20,110.262998120369,110.262998120369,100,0
30,75,21,107.358595873976,107.358595873976,100,0
30,75,22,106.214223021919,106.214223021919,100,0
30,75,23,104.621056632555,104.621056632555,100,0
30,75,24,103.304521238061,103.304521238061,100,0
30,75,25,102.262374020967,102.262374020967,100,0
30,75,26,101.242225617626,101.242225617626,100,0
30,75,27,102.928573946878,102.928573946878,100,0
30,75,28,101.484804910476,101.484804910476,100,0
30,75,29,108.775898784997,108.775898784997,100,0
30,75,30,108.060272959112,108.060272959112,100,0
30,75,31,107.102393235025,107.102393235025,100,0
30,75,32,124.309663450037,124.309663450037,100,0
30,75,33,123.605955988818,123.605955988818,100,0
30,75,34,122.999052742289,122.999052742289,100,0
30,75,35,123.332695765952,123.332695765952,100,0
30,75,36,123.42056624201,123.42056624201,100,0
30,75,37,125.577163996892,125.577163996892,100,0
30,75,38,125.151754564876,125.151754564876,100,0
30,75,39,124.842783195616,124.842783195616,100,0
30,75,40,127.415531650922,127.415531650922,100,0
30,75,41,129.697178098082,129.697178098082,100,0
30,75,42,129.895613944542,129.895613944542,100,0
30,75,43,132.212983429944,132.212983429944,100,0
30,75,44,138.696801153946,138.696801153946,100,0
30,75,45,139.387178192224,139.387178192224,100,0
30,75,46,140.204074397995,140.204074397995,100,0
30,75,47,141.69333142893,141.69333142893,100,0
30,75,48,142.4778070488,142.4778070488,100,0
30,75,49,148.899585296339,148.899585296339,100,0
30,75,50,151.36102047672,151.36102047672,100,0
30,75,51,152.98949230406,152.98949230406,100,0
30,75,52,154.681463350343,154.681463350343,100,0
30,75,53,157.016671857309,157.016671857309,100,0
30,75,54,161.126497369635,161.126497369635,100,0
30,75,55,163.45489500825,163.45489500825,100,0
30,75,56,165.750712815805,165.750712815805,100,0
30,75,57,169.192261724825,169.192261724825,100,0
30,75,58,186.293477318736,186.293477318736,100,0
30,75,59,192.069045264268,192.069045264268,100,0
30,75,60,195.797331786394,195.797331786394,100,0
30,75,61,199.953967957744,199.953967957744,100,0
30,75,62,206.084887228389,206.084887228389,100,0
30,75,63,210.892718870768,210.892718870768,100,0
30,75,63.434948822922,213.065693638527,213.065693638527,100,0
30,75,64,218.199739587118,218.199739587118,100,0
30,75,65,227.354113421585,227.354113421585,100,0
30,75,66,233.8486627661,233.8486627661,100,0
30,75,67,241.346329982503,241.346329982503,100,0
30,75,68,249.610754422037,249.610754422037,100,0
30,75,69,258.436824142334,258.436824142334,100,0
30,75,70,268.593537755531,268.593537755531,100,0
30,75,71,279.209160394561,279.209160394561,100,0
30,75,72,298.190120079711,298.190120079711,100,0
30,75,73,313.162258517066,313.162258517066,100,0
30,75,74,328.971999989885,328.971999989885,100,0
30,75,75,348.504904754901,348.504904754901,100,0
