sample_id,x,y,z,inclinacion,azimuth,mode,medida_daq
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.08079
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.08408
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.06039
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.08276
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.08046
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.06631
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.09362
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.06368
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.0696
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.06927
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.07388
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.07815
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.08276
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.07026
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.08342
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.08079
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.06763
