variant,region,pitch_mm,radii_mm,K,peb_median_m,peb_p95_m,peb_max_m,fraction_peb_1cm,fraction_peb_10cm,fraction_full_rank,minimum_visible_5sigma,config_json
pitch1.5,tile_core,1.5,25,1,13.076055542039963,211051133.32201985,inf,0.2055363321799308,0.2996539792387543,0.9972318339100346,0,"{""wavelength"": 9.5e-07, ""waist"": 5e-06, ""index"": 1.55, ""power"": 0.01, ""pitch"": 0.0015, ""array_lens_distance"": 0.005, ""diameter"": 0.016, ""edge_thickness"": 0.002, ""radii"": [0.025], ""tiles"": 1, ""tile_spacing"": 0.02, ""tilt_deg"": 21.0, ""array_height"": 3.0, ""pd_area"": 1e-06, ""fov_deg"": 70.0, ""transmission"": 0.9}"
pitch1.5,tile_ninth,1.5,25,1,23347976.506663293,inf,inf,0.10311418685121107,0.1695501730103806,0.6678200692041523,0,"{""wavelength"": 9.5e-07, ""waist"": 5e-06, ""index"": 1.55, ""power"": 0.01, ""pitch"": 0.0015, ""array_lens_distance"": 0.005, ""diameter"": 0.016, ""edge_thickness"": 0.002, ""radii"": [0.025], ""tiles"": 1, ""tile_spacing"": 0.02, ""tilt_deg"": 21.0, ""array_height"": 3.0, ""pd_area"": 1e-06, ""fov_deg"": 70.0, ""transmission"": 0.9}"
pitch1.5,tile_prism,1.5,25,1,inf,inf,inf,0.0782006920415225,0.11695501730103806,0.4823529411764706,0,"{""wavelength"": 9.5e-07, ""waist"": 5e-06, ""index"": 1.55, ""power"": 0.01, ""pitch"": 0.0015, ""array_lens_distance"": 0.005, ""diameter"": 0.016, ""edge_thickness"": 0.002, ""radii"": [0.025], ""tiles"": 1, ""tile_spacing"": 0.02, ""tilt_deg"": 21.0, ""array_height"": 3.0, ""pd_area"": 1e-06, ""fov_deg"": 70.0, ""transmission"": 0.9}"
pitch1.5,tile_core,1.5,"10,11",2,0.017123096682951876,2.4559342800519004,1374.2108926767419,0.2955017301038062,0.8588235294117647,1.0,2,"{""wavelength"": 9.5e-07, ""waist"": 5e-06, ""index"": 1.55, ""power"": 0.01, ""pitch"": 0.0015, ""array_lens_distance"": 0.005, ""diameter"": 0.016, ""edge_thickness"": 0.002, ""radii"": [0.01, 0.011], ""tiles"": 1, ""tile_spacing"": 0.02, ""tilt_deg"": 21.0, ""array_height"": 3.0, ""pd_area"": 1e-06, ""fov_deg"": 70.0, ""transmission"": 0.9}"
pitch1.5,tile_ninth,1.5,"10,11",2,0.160537715329689,inf,inf,0.12387543252595155,0.471280276816609,0.8615916955017301,0,"{""wavelength"": 9.5e-07, ""waist"": 5e-06, ""index"": 1.55, ""power"": 0.01, ""pitch"": 0.0015, ""array_lens_distance"": 0.005, ""diameter"": 0.016, ""edge_thickness"": 0.002, ""radii"": [0.01, 0.011], ""tiles"": 1, ""tile_spacing"": 0.02, ""tilt_deg"": 21.0, ""array_height"": 3.0, ""pd_area"": 1e-06, ""fov_deg"": 70.0, ""transmission"": 0.9}"
pitch1.5,tile_prism,1.5,"10,11",2,12767.271771865231,inf,inf,0.08788927335640138,0.3245674740484429,0.6539792387543253,0,"{""wavelength"": 9.5e-07, ""waist"": 5e-06, ""index"": 1.55, ""power"": 0.01, ""pitch"": 0.0015, ""array_lens_distance"": 0.005, ""diameter"": 0.016, ""edge_thickness"": 0.002, ""radii"": [0.01, 0.011], ""tiles"": 1, ""tile_spacing"": 0.02, ""tilt_deg"": 21.0, ""array_height"": 3.0, ""pd_area"": 1e-06, ""fov_deg"": 70.0, ""transmission"": 0.9}"
pitch1.5,tile_core,1.5,"10,12",2,0.0056633885056801715,2.6199745445457863,1407.0885805202024,0.7038062283737024,0.8754325259515571,1.0,1,"{""wavelength"": 9.5e-07, ""waist"": 5e-06, ""index"": 1.55, ""power"": 0.01, ""pitch"": 0.0015, ""array_lens_distance"": 0.005, ""diameter"": 0.016, ""edge_thickness"": 0.002, ""radii"": [0.01, 0.012], ""tiles"": 1, ""tile_spacing"": 0.02, ""tilt_deg"": 21.0, ""array_height"": 3.0, ""pd_area"": 1e-06, ""fov_deg"": 70.0, ""transmission"": 0.9}"
pitch1.5,tile_ninth,1.5,"10,12",2,0.19968495654058582,inf,inf,0.3494809688581315,0.457439446366782,0.8615916955017301,0,"{""wavelength"": 9.5e-07, ""waist"": 5e-06, ""index"": 1.55, ""power"": 0.01, ""pitch"": 0.0015, ""array_lens_distance"": 0.005, ""diameter"": 0.016, ""edge_thickness"": 0.002, ""radii"": [0.01, 0.012], ""tiles"": 1, ""tile_spacing"": 0.02, ""tilt_deg"": 21.0, ""array_height"": 3.0, ""pd_area"": 1e-06, ""fov_deg"": 70.0, ""transmission"": 0.9}"
pitch1.5,tile_prism,1.5,"10,12",2,21297.09712143068,inf,inf,0.255363321799308,0.3134948096885813,0.6456747404844291,0,"{""wavelength"": 9.5e-07, ""waist"": 5e-06, ""index"": 1.55, ""power"": 0.01, ""pitch"": 0.0015, ""array_lens_distance"": 0.005, ""diameter"": 0.016, ""edge_thickness"": 0.002, ""radii"": [0.01, 0.012], ""tiles"": 1, ""tile_spacing"": 0.02, ""tilt_deg"": 21.0, ""array_height"": 3.0, ""pd_area"": 1e-06, ""fov_deg"": 70.0, ""transmission"": 0.9}"
pitch1.5,tile_core,1.5,"10,13",2,0.005093019981610179,1.1119308690727356,1408.0853089791296,0.673356401384083,0.8698961937716263,1.0,1,"{""wavelength"": 9.5e-07, ""waist"": 5e-06, ""index"": 1.55, ""power"": 0.01, ""pitch"": 0.0015, ""array_lens_distance"": 0.005, ""diameter"": 0.016, ""edge_thickness"": 0.002, ""radii"": [0.01, 0.013], ""tiles"": 1, ""tile_spacing"": 0.02, ""tilt_deg"": 21.0, ""array_height"": 3.0, ""pd_area"": 1e-06, ""fov_deg"": 70.0, ""transmission"": 0.9}"
