HalfAngle_deg,Area_mm2,RMS_full_cm,Coverage_percent
60,9.81073970587425,7.65326156847511,100
60,10.5737126344056,7.10102115930075,100
60,11.3960213222298,6.58862905098433,100
60,12.2822802611579,6.11320988878018,100
60,13.2374628081261,5.67209579642317,100
60,14.2669290938328,5.26281140499514,100
60,15.3764561018069,4.8830599620713,100
60,16.5722700866999,4.53071044319625,100
60,17.8610815137213,4.20378559336392,100
60,19.2501227152835,3.90045083139483,100
60,20.7471884761735,3.61900395494591,100
60,22.3606797749979,3.35786558838135,100
60,24.0996509273635,3.11557031990149,100
60,25.9738603953433,2.89075847819455,100
60,26.4,2.84409686171516,100
60,27.9938255483516,2.6821685024647,100
60,30.1708816827258,2.48862986302018,100
60,32.5172456312118,2.30905649269415,100
60,35.0460843193044,2.14244069223795,100
60,37.7715886531567,1.98784747548618,100
60,40.7090531536905,1.84440932256056,100
60,43.8749617837822,1.7113213116697,100
60,47.2870804501588,1.58783660218608,100
60,50.9645566990858,1.47326224365309,100
60,54.9280271653059,1.36695528720364,100
60,59.1997333771905,1.2683191775693,100
60,63.8036465679591,1.17680040543303,100
60,68.7656021933632,1.0918854013399,100
60,74.1134449106948,1.0130976537355,100
60,79.8771848326912,0.939995034959602,100
60,86.0891659331735,0.872167320189442,100
60,92.7842475494485,0.809233885409964,100
60,100,0.750841571492802,100
75,5,13.2688940557806,100
75,5.38884577076006,12.3114435077895,100
75,5.80793174820771,11.4230802211779,100
75,6.25960968763844,10.5988190301898,100
75,6.74641423836782,9.83403448628939,100
75,7.27107716724477,9.12443490185689,100
75,7.8365426883154,8.46603826682718,100
75,8.44598398466182,7.85514990312397,100
75,9.1028210151304,7.28834173149482,100
75,9.81073970587425,6.76243303439991,100
75,10.5737126344056,6.2744726070033,100
75,11.3960213222298,5.82172219610428,100
75,12.2822802611579,5.40164113407459,100
75,13.2374628081261,5.0118720815726,100
75,14.2669290938328,4.65022779902803,100
75,15.3764561018069,4.31467887266344,100
75,16.5722700866999,4.0033423261758,100
75,17.8610815137213,3.7144710541708,100
75,19.2501227152835,3.44644401805445,100
75,20.7471884761735,3.1977571493648,100
75,22.3606797749979,2.96701490949683,100
75,24.0996509273635,2.75292245845658,100
75,25.9738603953433,2.55427838869872,100
75,26.4,2.51304811662511,100
75,27.9938255483516,2.36996798327228,100
75,30.1708816827258,2.19895696044203,100
75,32.5172456312118,2.04028566968236,100
75,35.0460843193044,1.89306370647401,100
75,37.7715886531567,1.75646491568361,100
75,40.7090531536905,1.62972275548709,100
75,43.8749617837822,1.51212599582084,100
75,47.2870804501588,1.40301472722197,100
75,50.9645566990858,1.30177665766085,100
75,54.9280271653059,1.20784367658498,100
75,59.1997333771905,1.12068866689297,100
75,63.8036465679591,1.03982254694859,100
75,68.7656021933632,0.96479152603576,100
75,74.1134449106948,0.895174557853122,100
75,79.8771848326912,0.830580977758122,100
75,86.0891659331735,0.770648310501726,100
75,92.7842475494485,0.715040236151565,100
75,100,0.663444702789029,100
