sample_id,date,time,axis,axis_angle,phi_cmd,azimuth_cmd,d_fixed,v_mean,v_median,v_std,n_samples,fs
20260722_162340_64,2026-07-22,16:28:14,Y,36.000000,36.000000,90.000000,1.000000,4.314615,4.313381,0.003657,1000,1000
20260722_162340_65,2026-07-22,16:28:17,Y,38.000000,38.000000,90.000000,1.000000,3.963533,3.963617,0.001937,1000,1000
20260722_162340_66,2026-07-22,16:28:21,Y,40.000000,40.000000,90.000000,1.000000,3.623236,3.623397,0.002147,1000,1000
20260722_162340_67,2026-07-22,16:28:24,Y,42.000000,42.000000,90.000000,1.000000,3.272148,3.271990,0.002149,1000,1000
20260722_162340_68,2026-07-22,16:28:28,Y,44.000000,44.000000,90.000000,1.000000,2.931222,2.931441,0.002193,1000,1000
20260722_162340_69,2026-07-22,16:28:31,Y,46.000000,46.000000,90.000000,1.000000,2.582581,2.582668,0.001992,1000,1000
20260722_162340_70,2026-07-22,16:28:35,Y,48.000000,48.000000,90.000000,1.000000,2.228750,2.228960,0.001838,1000,1000
20260722_162340_71,2026-07-22,16:28:38,Y,50.000000,50.000000,90.000000,1.000000,1.890750,1.890388,0.002061,1000,1000
20260722_162340_72,2026-07-22,16:28:42,Y,52.000000,52.000000,90.000000,1.000000,1.608122,1.608081,0.002114,1000,1000
20260722_162340_73,2026-07-22,16:28:45,Y,54.000000,54.000000,90.000000,1.000000,1.359029,1.359006,0.002165,1000,1000
20260722_162340_74,2026-07-22,16:28:49,Y,56.000000,56.000000,90.000000,1.000000,1.162016,1.161918,0.002152,1000,1000
20260722_162340_75,2026-07-22,16:28:52,Y,58.000000,58.000000,90.000000,1.000000,1.002925,1.002997,0.002109,1000,1000
20260722_162340_76,2026-07-22,16:28:56,Y,60.000000,60.000000,90.000000,1.000000,0.860383,0.860199,0.001761,1000,1000
20260722_162340_77,2026-07-22,16:28:59,Y,62.000000,62.000000,90.000000,1.000000,0.775503,0.775639,0.002029,1000,1000
20260722_162340_78,2026-07-22,16:29:03,Y,64.000000,64.000000,90.000000,1.000000,0.742694,0.742736,0.002152,1000,1000
20260722_162340_79,2026-07-22,16:29:06,Y,66.000000,66.000000,90.000000,1.000000,0.714308,0.714439,0.002036,1000,1000
20260722_162340_80,2026-07-22,16:29:10,Y,68.000000,68.000000,90.000000,1.000000,0.690354,0.690420,0.002192,1000,1000
20260722_162340_81,2026-07-22,16:29:13,Y,70.000000,70.000000,90.000000,1.000000,0.659001,0.659163,0.002196,1000,1000
20260722_162340_82,2026-07-22,16:29:17,Y,72.000000,72.000000,90.000000,1.000000,0.640163,0.640079,0.002138,1000,1000
20260722_162340_83,2026-07-22,16:29:21,Y,74.000000,74.000000,90.000000,1.000000,0.625837,0.625931,0.002194,1000,1000
20260722_162340_84,2026-07-22,16:29:24,Y,76.000000,76.000000,90.000000,1.000000,0.611276,0.611454,0.001826,1000,1000
20260722_162340_85,2026-07-22,16:29:28,Y,78.000000,78.000000,90.000000,1.000000,0.609420,0.609480,0.001745,1000,1000
20260722_162340_86,2026-07-22,16:29:31,Y,80.000000,80.000000,90.000000,1.000000,0.674622,0.674627,0.001929,1000,1000
20260722_162340_87,2026-07-22,16:29:35,Y,82.000000,82.000000,90.000000,1.000000,0.662644,0.662782,0.001961,1000,1000
20260722_162340_88,2026-07-22,16:29:38,Y,84.000000,84.000000,90.000000,1.000000,0.640272,0.640408,0.002067,1000,1000
20260722_162340_89,2026-07-22,16:29:42,Y,86.000000,86.000000,90.000000,1.000000,0.612741,0.612770,0.001787,1000,1000
20260722_162340_90,2026-07-22,16:29:45,Y,88.000000,88.000000,90.000000,1.000000,0.591283,0.591383,0.002240,1000,1000
20260722_162340_91,2026-07-22,16:29:49,Y,90.000000,90.000000,90.000000,1.000000,0.585467,0.585461,0.001882,1000,1000
