K,Pattern,FOV_deg,Budget,RMS_full_cm,RMS_conditional_cm,LightCoverage_percent,RegularCoverage_percent,TargetCoverage_percent,AxisPEB_cm
7,repeat_triplet,85,per_orientation,Inf,0.500334989488919,100,96.0270498732037,96.0270498732037,0.14986334805271
8,repeat_triplet,85,per_orientation,Inf,0.468099554084542,100,96.0270498732037,96.0270498732037,0.140184325812024
9,repeat_triplet,85,per_orientation,Inf,0.43347350941138,100,96.0270498732037,96.0270498732037,0.129785466509836
10,repeat_triplet,85,per_orientation,Inf,0.414900435880457,100,96.0270498732037,96.0270498732037,0.124260123829319
11,repeat_triplet,85,per_orientation,Inf,0.39564304253636,100,96.0270498732037,96.0270498732037,0.118477379406281
12,repeat_triplet,85,per_orientation,Inf,0.375399071017848,100,96.0270498732037,96.0270498732037,0.112397511039532
13,repeat_triplet,85,per_orientation,Inf,0.36258835546731,100,96.0270498732037,96.0270498732037,0.108586311853857
14,repeat_triplet,85,per_orientation,Inf,0.349435176776279,100,96.0270498732037,96.0270498732037,0.104636388298546
15,repeat_triplet,85,per_orientation,Inf,0.335767136594472,100,96.0270498732037,96.0270498732037,0.100531390074471
16,repeat_triplet,85,per_orientation,Inf,0.326246540747639,100,96.0270498732037,96.0270498732037,0.0976989499076946
17,repeat_triplet,85,per_orientation,Inf,0.316533131781264,100,96.0270498732037,96.0270498732037,0.0947819035250244
18,repeat_triplet,85,per_orientation,Inf,0.306512057969518,100,96.0270498732037,96.0270498732037,0.0917721834685644
